Minisector,RUS,GAS,Fastest
0,254.1490893135129,250.77221904598932,RUS
1,123.85994280808956,116.20985203554994,RUS
2,259.98537486961044,260.3638648455214,GAS
3,300.8003448275862,304.9894051558045,GAS
4,298.5258264442182,308.0990963901876,GAS
5,307.56386904761905,319.35269282816427,GAS
6,310.98718325333334,332.65164666031257,GAS
7,305.8976355959629,336.08280436218297,GAS
8,187.35764065220852,177.7385556468479,RUS
9,190.02957506317208,174.34463437832946,RUS
10,172.54871362372307,171.86511969486676,RUS
11,180.43036378662848,164.92315907522428,RUS
12,255.15516547806445,247.26700839564475,RUS
13,270.0782560262128,256.10902597402594,RUS
14,279.2433405008562,267.6533497353038,RUS
15,260.7737821453324,269.00743733632623,GAS
16,171.7878540622297,163.63335822137068,RUS
17,182.7820624108588,175.00191511467582,RUS
18,236.4075082452381,228.1399231270831,RUS
19,279.3508426992974,280.3632923146812,GAS
20,298.57215906943503,302.12332633245836,GAS
21,304.15404759682536,309.88958333333335,GAS
22,302.20272039478925,307.88602980773607,GAS
23,235.3004336195955,239.83275744457563,GAS
24,109.91285626420984,111.63228279361967,GAS
25,224.2250048,222.6785737142857,RUS
