Minisector,RAI,NOR,Fastest
0,327.1565733116949,331.88386811108234,NOR
1,225.13508566936534,230.72164564636998,NOR
2,130.93833792289976,135.72896518059574,NOR
3,221.0607316474277,223.1899111354197,NOR
4,265.84619328164945,267.30673437334,NOR
5,297.3308627696749,292.4442494449968,RAI
6,318.82876862316226,303.6751584667893,RAI
7,276.8146889711096,267.3965826091903,RAI
8,166.214400694095,167.0335293191652,NOR
9,241.21644755087718,243.3571467491463,NOR
10,275.6758429298261,274.32236087420114,RAI
11,260.9537729083216,257.9612900428357,RAI
12,204.04970972161323,211.366520025651,NOR
13,125.1846751342852,129.86534776010615,NOR
14,123.94956658677084,124.68172457550989,NOR
15,163.0820101812421,163.04157106008702,RAI
16,121.87363151546364,127.51315639102137,NOR
17,231.57772808776204,236.49794096413285,NOR
18,176.61885939669517,176.88342930987434,NOR
19,164.32394896135122,168.42249983962557,NOR
20,249.3042778741994,250.06987740829706,NOR
21,277.80041093605297,278.5093228645687,NOR
22,295.99580674833777,296.94954163816243,NOR
23,312.0668498426288,307.9028580402099,RAI
24,323.02867727800464,313.8044444444444,RAI
