Minisector,VER,ALB,Fastest
0,277.5088783352092,280.3687981424142,ALB
1,241.8477544291957,251.61966669598232,ALB
2,264.80592553823317,273.64137135379326,ALB
3,281.3579649008158,287.26098305459715,ALB
4,133.67244795003026,122.99678911507081,VER
5,211.9795670662673,207.67621499153702,VER
6,268.31837621179517,272.10859850535843,ALB
7,287.6472222222222,303.1989803242308,ALB
8,296.28850768829705,317.8906751189545,ALB
9,298.52369707779656,325.86344984382833,ALB
10,280.05392156862746,298.10973259632493,ALB
11,106.19464345083912,98.81632025354246,VER
12,223.24342251838561,221.80682697662286,VER
13,268.8189567997484,271.6995285126603,ALB
14,268.98267649122806,267.7453461860818,VER
15,135.28784441654886,130.8815236377144,VER
16,209.6988365305663,198.8466640184054,VER
17,257.631071711443,251.12244466444977,VER
18,257.5799420338555,257.55883930608496,VER
19,246.08893182288588,238.82862840429863,VER
20,154.59263135537128,141.6447809279277,VER
21,198.47707131271633,187.83990563549634,VER
22,178.82554877583055,163.35091764489673,VER
23,195.7765801953674,186.29592240009438,VER
24,251.12575314666137,249.39624849148444,VER
25,268.46024980907094,,VER
