Minisector,NOR,HAM,Fastest
0,252.9754441031111,250.69756484034633,NOR
1,207.61429218097038,218.78029061651756,HAM
2,207.3249503698008,198.16032206768088,NOR
3,259.00914291836443,255.93495651091416,NOR
4,277.44775183507,269.2279541361039,NOR
5,290.38559983026653,288.49850218386905,NOR
6,150.44393916756462,183.83847111492062,HAM
7,183.23248953860661,170.86179626431903,NOR
8,268.7828263281159,262.84300344565656,NOR
9,294.7809791836735,292.3879945446236,NOR
10,305.8752588224762,303.9112405048889,NOR
11,305.6464031871679,306.41548928048525,HAM
12,122.44641351984762,124.48083958438384,HAM
13,194.16486090764977,180.95526670861605,NOR
14,269.8443328720936,265.8902243529545,NOR
15,294.3188065858586,293.73504608547296,NOR
16,297.5714278503896,303.7523024253968,HAM
17,184.42010101170834,195.34753461892188,HAM
18,219.04506491710046,209.92521655105517,NOR
19,268.51791276627654,266.8454441615238,NOR
20,149.76030026479003,156.59111537966976,HAM
21,139.14170135116038,141.63764260001224,HAM
22,218.21223920215928,218.61015813619832,HAM
23,232.5178560733686,245.460551886166,HAM
24,155.36324894526393,149.45156098614143,NOR
25,224.43499904,218.65714285714284,NOR
