Minisector,RUS,NOR,Fastest
0,272.5694943314286,270.8524122228285,RUS
1,252.32013932009687,236.83420031479397,RUS
2,124.0620412877295,120.53036379646248,RUS
3,162.59609288753106,170.39058456769726,NOR
4,184.0473147119192,200.19174975045524,NOR
5,199.82505707700267,199.08010887999998,RUS
6,263.33294694453053,262.02595162229403,RUS
7,285.3630109647771,283.52429199930737,RUS
8,233.23061154666667,230.4471708069013,RUS
9,150.08017265566139,150.15219385650795,NOR
10,118.88050758560591,117.25441332907667,RUS
11,160.90735530775683,158.06008242318464,RUS
12,247.0707373815204,246.78913036830917,RUS
13,157.2781364615873,168.64727201662276,NOR
14,145.41766910607984,144.1956623290887,RUS
15,106.56236003364133,111.22213628784849,NOR
16,215.39139168889312,210.7928867841505,RUS
17,254.6191523915444,245.32166122442345,RUS
18,128.52858121915804,126.48336563418802,RUS
19,239.01813308440637,232.15339580245734,RUS
20,273.4393386665226,273.54479670088614,NOR
21,200.32750723452506,219.25091359599944,NOR
22,150.76286049084533,141.85488832298165,RUS
23,216.78599623092146,219.19339625480305,NOR
24,230.82513053531338,229.0970921195859,RUS
25,255.875,256.7724076939171,NOR
