Minisector,SAI,STR,Fastest
0,296.40844899626666,310.8460456293218,STR
1,247.19283724065775,222.79087236232735,SAI
2,202.1483119281187,187.0139363145348,SAI
3,265.2546011677748,261.58880981308226,SAI
4,224.90303415248002,207.71560995268817,SAI
5,112.81646939970963,104.94861837574918,SAI
6,182.2624645782728,166.00096465201713,SAI
7,257.91277995191916,257.0889890042809,SAI
8,288.9770473514976,290.6402991033155,STR
9,303.5629129292191,317.93043917837576,STR
10,307.9305989448373,325.5746678821832,STR
11,236.12419581845117,199.18588665206045,SAI
12,142.9440665335115,139.49696627146074,SAI
13,252.60819982984125,256.5979679032411,STR
14,288.1521044990407,291.1401275871407,STR
15,300.0735921608834,302.61332649008347,STR
16,299.67843274949496,301.1467882333333,STR
17,264.6083574634667,247.22252993799725,SAI
18,192.45399412793537,172.02736692804777,SAI
19,184.1135171175066,167.39527463577863,SAI
20,174.65468429329235,187.55620923290044,STR
21,246.95771630032786,238.36188409459493,SAI
22,123.15647654437119,111.25515608352178,SAI
23,194.91547870758612,206.77979033069124,STR
24,274.27146015073174,276.22440069718533,STR
