Minisector,SAI,RUS,Fastest
0,292.4854681406555,293.03773014909234,RUS
1,156.07865934371915,177.8350830121088,RUS
2,179.25462526715899,164.78625848679883,SAI
3,257.1591242584049,248.7274266548588,SAI
4,287.0842277052632,288.4402577371428,RUS
5,252.29723166548152,256.53286505886695,RUS
6,226.7543797019798,219.8995315353091,SAI
7,149.9991048859801,151.47856220583574,RUS
8,220.18668058656277,211.98313850365557,SAI
9,279.46787688178756,275.73043020533333,SAI
10,297.7864659841604,300.2921968872727,RUS
11,307.3096404301365,310.6541896510242,RUS
12,312.4179839759398,315.603437392,RUS
13,313.09561460932326,316.5391055455678,RUS
14,127.40850321933986,118.40199560462094,SAI
15,118.06449772357384,117.68230121976482,SAI
16,103.74511418235988,100.60487784023607,SAI
17,233.3310006137566,230.17696283910755,SAI
18,287.79497230829105,285.12876187041593,SAI
19,307.34609014320864,309.2464557430917,RUS
20,318.03751912891323,319.5685862327619,RUS
21,322.20540366666665,324.98168417636657,RUS
22,122.05766529574795,126.74343927510205,RUS
23,202.30835322567742,197.93894503748228,SAI
24,270.436630849895,265.53627851567103,SAI
25,,284.1937504,RUS
