Minisector,VET,SAI,Fastest
0,301.93532477069596,303.122000384,SAI
1,162.64772926635428,158.07269432916732,VET
2,152.69626717777777,154.51417367795378,SAI
3,223.70754980324452,221.74091827411482,VET
4,285.89562817289374,287.9013117085188,SAI
5,291.1156010501841,299.9351191055901,SAI
6,146.27400684063068,146.62871132698945,SAI
7,141.7746078517862,138.68249155458875,VET
8,149.94258210736479,153.05127457474535,SAI
9,177.30859118771536,172.92886727693445,VET
10,133.64564573620208,132.4364748276457,VET
11,126.9642085876666,126.54441211906224,VET
12,165.31977112530856,160.39214229702208,VET
13,266.9412556952381,266.2432021740783,VET
14,286.4380663137562,294.2663333546667,SAI
15,152.31067237403533,151.4728020108458,VET
16,212.21113216305054,212.2659500354992,SAI
17,169.0566552004066,162.71095942978874,VET
18,271.08037342020714,268.2256408205128,VET
19,295.47608369814253,294.5689733142857,VET
20,309.2220426722174,308.5904337191963,VET
21,317.10208329696974,315.731884057971,VET
22,319.8366718873706,318.03374375232676,VET
23,321.82265924718325,323.0360660294372,SAI
24,319.7486855047619,324.3235159491336,SAI
25,,324.2916664888889,SAI
