Minisector,HAD,ALO,Fastest
0,296.9355330581755,292.2503991029318,HAD
1,306.0191194316883,301.6462602191597,HAD
2,310.73227452239587,305.7182341663492,HAD
3,301.1030388187654,291.07643589610393,HAD
4,162.8914080729449,163.8154811465534,ALO
5,211.01734064141417,212.9977090114863,ALO
6,238.0929512025327,244.94093303619047,ALO
7,267.2717636894117,269.10060475778704,ALO
8,250.74254494222222,242.55032041142857,HAD
9,158.03527158882946,155.12159531106508,HAD
10,220.77977388571426,217.2322075945522,HAD
11,121.80997939126031,127.1316107542516,ALO
12,220.78519349533184,220.14002888629489,HAD
13,159.7539493432222,178.84230809108513,ALO
14,220.61535823580363,205.81958386922557,HAD
15,240.82911128278653,240.12718969155907,HAD
16,264.9325872923521,261.9613826273079,HAD
17,289.66118096761903,286.7346616767789,HAD
18,143.67272426303853,154.55408014582696,ALO
19,162.43977234351624,159.85276695749278,HAD
20,137.32633971646365,132.58876370099202,HAD
21,225.94673219062233,226.25507674203507,ALO
22,262.822777415595,261.2795034947877,HAD
23,249.14894920352964,254.0451319185965,ALO
24,277.3588465181777,277.96179130824396,ALO
25,,287.8154752,ALO
