Minisector,RAI,PER,Fastest
0,310.4549879630871,293.7376369628981,RAI
1,329.70736184597007,306.6386588310777,RAI
2,304.6218877633773,287.3397515502363,RAI
3,110.55295672080038,110.62432458154619,PER
4,224.48810461851264,226.42674792949617,PER
5,273.00391349052455,268.98778846467445,RAI
6,216.1756958066674,211.00711320253487,RAI
7,163.6100561852403,164.0403601444683,PER
8,193.99650234573812,189.6313653392181,RAI
9,210.53451007756325,211.29379814017133,PER
10,113.91409730698015,112.77683272108581,RAI
11,226.92476492993742,229.2407771241255,PER
12,116.58251016413102,110.74575277110421,RAI
13,227.48861978059352,221.75188124016802,RAI
14,283.42205704781276,272.09338471680616,RAI
15,206.49741998755533,213.70924786096865,PER
16,194.40885241007234,202.78544094275264,PER
17,254.22539010632755,254.57329541818183,PER
18,197.72968954275524,205.7945181007972,PER
19,180.22745559396174,178.33854633386764,RAI
20,269.8991654102331,267.9493681712813,RAI
21,295.05931664085244,294.2756846171429,RAI
22,157.27313911051397,162.68194545175905,PER
23,209.09529847519235,204.5103118350037,RAI
24,280.0397088137362,273.6064456737519,RAI
