Minisector,PIA,ALB,Fastest
0,287.48670923683375,298.6384059670588,ALB
1,297.866506747176,318.00731456256904,ALB
2,303.9552695215686,326.9717612504202,ALB
3,297.34785030614194,328.5940971555556,ALB
4,202.82049808816328,191.91028680360043,PIA
5,221.91400942185876,229.05991680084657,ALB
6,267.9627413977489,266.2699330118535,PIA
7,268.5303625950877,266.8459671703704,PIA
8,200.4229862728205,199.49754727965896,PIA
9,142.5370853450623,142.13956499669123,PIA
10,183.80200310935643,177.89703632006325,PIA
11,263.47004988730737,263.3532706380045,PIA
12,249.16568049709727,248.69384895232332,PIA
13,229.6677571534083,231.6948391794872,ALB
14,270.50268117471865,268.8889936258193,PIA
15,176.5097914652215,174.8392693868254,PIA
16,223.70785869775239,227.23812767691197,ALB
17,235.77347572760934,248.6802054810967,ALB
18,135.52121438231455,133.9608763991879,PIA
19,242.9923924013822,238.50357041777775,PIA
20,283.324455203609,282.5186763260767,PIA
21,267.1693714622745,255.5942716342857,PIA
22,144.70685773645022,141.98856150632506,PIA
23,220.11000155647076,213.03791500366302,PIA
24,268.9444053942857,270.56469788350086,ALB
25,,284.0035712,ALB
