Minisector,HAM,OCO,Fastest
0,278.70165003519134,274.18245166526316,HAM
1,297.99230106478325,296.2497179588638,HAM
2,294.27604732026714,293.91233335466666,HAM
3,186.72728923977766,181.92944258304297,HAM
4,119.81700245475825,114.80822787162077,HAM
5,236.18884538494623,232.01213952972432,HAM
6,285.4973260576535,278.92596127179485,HAM
7,296.5652776,288.3142079086632,HAM
8,181.90195095321263,174.8733145142857,HAM
9,142.27977935667357,136.71892649214197,HAM
10,248.88520228045977,246.91513909147403,HAM
11,288.5971199918777,286.486166272,HAM
12,298.5468993968254,297.56928876416487,HAM
13,277.96656506765027,271.1058642962963,HAM
14,297.667067454164,290.9816185660952,HAM
15,300.5436257206349,295.89638991357725,HAM
16,252.6366508514666,246.45016036063492,HAM
17,225.55168322480617,218.79281010140778,HAM
18,280.59785111622693,273.0361103407408,HAM
19,302.4512155111111,295.7585540007405,HAM
20,303.53896512378157,295.66600008533334,HAM
21,235.7536632190476,225.9736386387072,HAM
22,261.82231701694866,245.3532530336508,HAM
23,142.11763170990167,138.56253369197125,HAM
24,211.86813885490196,202.21384660652518,HAM
25,258.5833386666667,253.84722133333332,HAM
