Minisector,VER,GAS,Fastest
0,316.34120051976106,313.9495154410339,VER
1,329.7030375938788,326.9908527769133,VER
2,334.5342040162757,332.30068863561945,VER
3,312.3937689780947,300.36949993071505,VER
4,156.08026555974814,150.30644802365933,VER
5,192.1657346457654,183.59334672020626,VER
6,216.53580239338476,210.78085725372685,VER
7,262.85183032549895,255.2149211169294,VER
8,234.07600232218465,237.34454756616188,GAS
9,155.70797207985424,147.22542158855185,VER
10,214.52332213022194,204.66221721552336,VER
11,124.90776477529302,120.94770452550485,VER
12,234.00387890894007,228.72305976382086,VER
13,166.28595990815333,155.45998308654737,VER
14,208.68902008698637,206.60291990830515,VER
15,213.1424006148613,213.67632795403208,GAS
16,255.07989161443317,256.0963048396095,GAS
17,294.37440358976045,288.3971641613695,VER
18,142.92671797643493,133.14447659037313,VER
19,156.5590537210723,151.97822423027185,VER
20,137.97285968306412,130.88241850221266,VER
21,227.80991440876488,225.49873742898464,VER
22,249.22493723579473,250.9243818916719,GAS
23,235.9969967186004,227.28329531271197,VER
24,283.0825452780984,277.5460057862384,VER
