Minisector,STR,TSU,Fastest
0,243.3331433482664,241.76374508051947,STR
1,279.7712411885714,274.69691948977345,STR
2,169.76461784760573,182.9304725157248,TSU
3,153.67878454953296,149.77121848029353,STR
4,256.5927659178667,254.0098014867792,STR
5,261.0303328238509,272.1896374678261,TSU
6,220.41646301209806,236.8581376586166,TSU
7,202.0778238300092,206.75778337210085,TSU
8,156.08075501744236,166.13536754978352,TSU
9,215.91031818830498,212.56146108844214,STR
10,273.61967013018386,266.62433272838405,STR
11,121.09219250536849,135.61396525928276,TSU
12,206.57980365545842,199.33006055308644,STR
13,276.30507464177765,267.4973303978255,STR
14,302.40872467595653,289.0854784459816,STR
15,314.3376095157895,298.983256450274,STR
16,265.1652174860012,266.74951210147736,TSU
17,130.8310826122711,135.99511448919995,TSU
18,129.43200587762743,133.57191522111157,TSU
19,118.55618804562629,126.4364454532781,TSU
20,222.60594194757846,217.85940325925927,STR
21,253.824550318564,256.87721123443964,TSU
22,232.11448586979878,246.41834645271766,TSU
23,211.87006399905275,217.50041466538394,TSU
24,134.5421799988306,133.5045095701483,STR
25,214.33333333333334,209.68393051428572,STR
