Minisector,RUS,LAW,Fastest
0,303.4850731006984,301.46618648161615,RUS
1,313.4861109894737,306.5884354176871,RUS
2,305.0692694293996,294.3283710731208,RUS
3,176.2619034501852,171.6803833247711,RUS
4,221.43929390540282,213.15938296008466,RUS
5,200.67846935132906,196.1471343211687,RUS
6,178.48021769049,175.1185844387998,RUS
7,206.67704085764933,199.8407406231186,RUS
8,255.9959368257047,255.13294573496594,RUS
9,259.81040429758616,261.14290384646466,LAW
10,177.99115773138442,167.27898969368164,RUS
11,229.46480303576885,230.8137773238251,LAW
12,124.21497292059358,126.63736718804218,LAW
13,245.4171040500122,235.41963364148148,RUS
14,276.73019900061024,275.4718931091328,RUS
15,273.8458394795604,272.9947619560173,RUS
16,218.37570111781437,202.52930008380952,RUS
17,193.80424983811446,190.53706466285715,RUS
18,295.762570344583,287.7637827952655,RUS
19,332.5537826238219,317.7960637416572,RUS
20,345.4600002234921,325.5745656916243,RUS
21,321.07166987791004,301.5776123631746,RUS
22,279.0775841536204,253.451050750379,RUS
23,122.80674021725595,124.19064852668153,LAW
24,245.65561463452656,250.5702218597125,LAW
