Minisector,VER,PER,Fastest
0,263.4623161025641,264.3578407137948,PER
1,242.463494919224,249.18256434567903,PER
2,165.87376975326393,167.1611354211795,PER
3,247.07869841558048,247.49314199161904,PER
4,271.99168525071246,272.2218410524791,PER
5,189.69254587851788,196.46068105770308,PER
6,123.17801765773167,122.56149049938756,VER
7,158.44067043857814,160.32711253853657,PER
8,257.7945480044403,258.01252978649603,PER
9,180.45584116138997,176.01897047017542,VER
10,186.1696618186334,185.3881872980213,VER
11,256.57983045860806,259.2684995413333,PER
12,238.63762371160496,249.8489401914779,PER
13,259.55549952,257.4711305377289,VER
14,284.0659742726174,284.0690520950964,PER
15,282.9485525333333,285.1790388935818,PER
16,150.31494052479346,150.78570367976567,PER
17,236.14466355132276,239.0538678095238,PER
18,283.0586905419309,284.71642824986293,PER
19,295.788945538322,296.99829541818184,PER
20,300.23246734545455,300.53219684848483,PER
21,306.1749349302371,304.9866539877672,VER
22,151.16695354112554,154.48797544977646,PER
23,92.12561365321548,92.28786225014181,PER
24,180.88157831534392,182.2960626074074,PER
25,247.12500053333332,,VER
