Minisector,TSU,GAS,Fastest
0,254.01202240815462,244.09635932333532,TSU
1,134.89304473936508,126.71346671648351,TSU
2,201.41626872898922,202.48262173454856,GAS
3,244.92215160090703,249.49699438120635,GAS
4,256.3753447253333,250.78159282637364,TSU
5,179.54631660003798,173.48326737505045,TSU
6,149.6344956289293,149.03325886445586,TSU
7,193.22740739047617,189.4097802123667,TSU
8,104.70949940991747,105.05628357537168,GAS
9,74.65098018307171,73.13411430061181,TSU
10,98.10999095853248,99.65469240429815,GAS
11,181.59009404349376,193.06390288,GAS
12,241.89079864161724,248.20949324022197,GAS
13,264.4061114666667,270.25342567335497,GAS
14,275.6762470791177,270.2062819265306,TSU
15,106.66280044936049,111.47282239990217,GAS
16,153.8894127574651,161.78956666442576,GAS
17,180.54205741155556,182.91544104045065,GAS
18,200.72226162554006,200.61904470007352,TSU
19,206.20367048,204.5212432952381,TSU
20,142.41146044449712,136.29089805367153,TSU
21,104.3904742636041,96.06521676072134,TSU
22,99.96675095129676,97.17432056498532,TSU
23,199.18564523789473,200.01413531863255,GAS
24,248.2582166003458,250.71647940554746,GAS
