Minisector,SAI,PER,Fastest
0,255.4722861904664,257.607860972715,PER
1,205.34700721881077,203.39409099066654,SAI
2,222.56362795560202,217.84086896457652,SAI
3,259.7814523395795,260.2921781719747,PER
4,268.50730178136905,271.41911138475893,PER
5,214.40233213941417,212.4578359191473,SAI
6,96.83546126358883,90.83909475388026,SAI
7,193.02665238354678,191.48417147020228,SAI
8,275.4316144341667,282.3112782791717,PER
9,299.56107898303003,310.94451362154405,PER
10,310.5108644896948,323.11944224878016,PER
11,304.7515991219029,309.85379694837513,PER
12,109.38491154809535,103.71326912356271,SAI
13,215.88253492291423,221.25306108393798,PER
14,277.4119432847061,282.22774262129514,PER
15,294.82455785060904,302.8729676098316,PER
16,217.79317730160992,204.8722499898367,SAI
17,126.84396422110584,122.67536179392981,SAI
18,155.33758479776913,154.8645272832986,SAI
19,255.49101802114103,261.76511466194245,PER
20,153.26144202374795,144.7588003866127,SAI
21,131.22947949314513,125.97030543448373,SAI
22,210.14879322017046,208.04107774885364,SAI
23,198.9797745736135,193.09249282211093,SAI
24,172.12073442019505,162.89996614394374,SAI
25,233.7250048,,SAI
