Minisector,VET,LEC,Fastest
0,288.37254901960785,287.94632445490197,VET
1,128.12684871400293,124.54855191436475,VET
2,165.5477954144621,162.48960471814394,VET
3,220.77380816114055,216.0029123243114,VET
4,163.70617283950617,161.75411765210728,VET
5,244.64902077848964,243.94362768192744,VET
6,212.45486542443064,212.61564155151515,LEC
7,140.79484580939737,136.48965634636517,VET
8,237.0340476190476,234.1251552481203,VET
9,277.1181037969187,276.0074649190044,VET
10,284.52964851586836,285.07055720296296,LEC
11,149.67367038573144,148.40793505285873,VET
12,222.4889891098671,218.31081194920634,VET
13,271.27058823529416,268.38472160000003,VET
14,269.2444472888889,270.9762323269164,LEC
15,104.56925510879745,103.84254608284705,VET
16,226.96031613968253,220.82729077333335,VET
17,276.33723986666666,270.5388881777778,VET
18,297.7825519333333,292.72499758603624,VET
19,308.53538909847583,304.1880553955555,VET
20,312.45818792973546,310.0796874,VET
21,291.8118486473895,278.23166028642254,VET
22,156.89118974668855,149.6152176711111,VET
23,238.6202955828024,234.120485724025,VET
24,280.54004557037035,278.0620367407407,VET
