Minisector,LEC,HUL,Fastest
0,261.25944484935326,257.6965282573545,LEC
1,136.96930591738519,134.4453235510204,LEC
2,266.78139965170067,266.2716490269624,LEC
3,311.1791717995604,308.7768760496894,LEC
4,308.6541505227278,308.7513128237881,HUL
5,315.6074017391304,316.64422115555556,HUL
6,321.35425358888887,321.848462215873,HUL
7,320.9215578898551,317.4505517513225,LEC
8,212.16491569273077,207.04428065957984,LEC
9,195.69672506658935,191.54166555428571,LEC
10,194.48099857243108,189.54866654847376,LEC
11,165.287694849806,164.11862380794437,LEC
12,252.45121281845715,248.06529405957448,LEC
13,277.05824167032966,269.60654834285714,LEC
14,281.5925929876543,275.37574987373887,LEC
15,284.7977043162094,273.5873528181576,LEC
16,189.11237577458195,183.15537120761905,LEC
17,194.2130743572997,192.88052454603175,LEC
18,240.2565844313331,238.89605208142078,LEC
19,288.2377145478095,283.734744081717,LEC
20,311.36799748591426,307.2471067897683,LEC
21,319.7119877067362,316.46194999744796,LEC
22,317.85368735877495,312.3505954920635,LEC
23,272.98152410864196,265.52939549950736,LEC
24,116.90216418679007,114.08887245729024,LEC
25,,229.6333312,HUL
