Minisector,LEC,RAI,Fastest
0,295.2349758139858,313.2779582037149,RAI
1,202.10764085795222,189.44642254180002,LEC
2,228.77390767266456,222.98079035297556,LEC
3,276.1194706966263,280.8144388441911,RAI
4,243.07551361328677,233.52198931303104,LEC
5,125.91072440038141,120.87703104653475,LEC
6,208.40101092241028,206.72074937836533,LEC
7,258.396921409573,256.6909029101693,LEC
8,210.04879670380913,201.43486076893367,LEC
9,209.550523409122,207.14241980631306,LEC
10,267.98456512448007,267.87696608994054,LEC
11,211.22789360113123,195.53624388633625,LEC
12,176.25726337110865,178.64580288280297,RAI
13,262.45254098753054,263.4880418978043,RAI
14,281.4165457955268,287.0411082051602,RAI
15,254.9897580163798,257.66874986766203,RAI
16,238.7824829111365,245.52229138969383,RAI
17,271.6266030829787,284.4095017333398,RAI
18,284.7560909411382,303.12998772426386,RAI
19,180.32284073287843,161.20726756846858,LEC
20,212.4124651693499,198.05421812889733,LEC
21,179.08082061388777,159.50852756482254,LEC
22,141.49072188691954,143.61252306101582,RAI
23,239.98636635000616,245.43457931595876,RAI
24,282.38924623370133,292.74902936384467,RAI
