Minisector,ANT,LAW,Fastest
0,306.09174600380953,300.9631125253995,ANT
1,312.8286011352381,306.624223642236,ANT
2,298.1809896612139,294.3283710731208,ANT
3,179.6723162623164,171.6803833247711,ANT
4,226.89687787260695,213.15938296008466,ANT
5,198.812158021508,196.6538222448582,ANT
6,182.2029410157279,175.38564972423765,ANT
7,207.96349673860112,199.8407406231186,ANT
8,256.6155050989899,255.13294573496594,ANT
9,257.495726143569,261.14290384646466,LAW
10,176.67609989250582,166.444226264568,ANT
11,234.0725669608602,229.67757099083133,ANT
12,127.6445121273051,125.60459243412345,ANT
13,237.99091774157571,232.1299218126749,ANT
14,279.42916684495236,274.99004284409943,ANT
15,275.2711866968116,273.2451984596825,ANT
16,209.24040290921408,204.98712080571428,ANT
17,190.5570478610364,185.65035167915346,ANT
18,288.13995046545455,283.0181580485989,ANT
19,317.2170246899577,316.51209379901877,ANT
20,316.3078732293333,325.6929842694021,LAW
21,291.5804927751045,303.8195522280877,LAW
22,257.84383255948853,270.7600764596825,LAW
23,124.92041083912055,123.27725242254063,ANT
24,251.71800647064373,240.79794491639205,ANT
25,,287.2249998222222,LAW
