Minisector,HAD,NOR,Fastest
0,300.32273880380956,302.6634021155556,NOR
1,150.03458094093278,152.30962468520013,NOR
2,216.67130941701458,210.78760839360532,HAD
3,285.9031357962482,287.7075977098039,NOR
4,312.5105788464816,313.7367139848325,NOR
5,315.55188813333336,311.89769311385186,HAD
6,180.77028387858758,170.26937655812634,HAD
7,117.28690906338161,127.418542618801,NOR
8,251.7435093832073,258.8800414759033,NOR
9,293.3010666933333,297.40732849815726,NOR
10,298.2692815230075,297.9531673484163,HAD
11,138.10140636098197,133.879313117728,HAD
12,172.0905773514359,182.75304072746664,NOR
13,241.8674131466062,247.8196959880901,NOR
14,180.53398173306718,183.77665652150185,NOR
15,196.87155237823688,193.76041530087235,HAD
16,195.5393928819625,193.90949715956364,HAD
17,233.21246422124742,236.62989431632045,NOR
18,279.471190292437,281.49700159267263,NOR
19,298.85434745747887,293.93914438502674,HAD
20,249.51165111862684,234.96561873984297,HAD
21,200.77526362453332,199.30653394286804,HAD
22,184.39924851435387,188.58575554581407,NOR
23,268.3073767170868,273.48987857892206,NOR
24,298.2789622177778,300.90533210151517,NOR
25,302.5687504,,HAD
