Minisector,OCO,SAI,Fastest
0,279.79323329260967,290.4217800292064,SAI
1,116.7339616762556,121.08651304408292,SAI
2,161.736614193498,171.41489073277802,SAI
3,208.91249349233954,200.83300892850795,OCO
4,163.6638514563265,172.742867079017,SAI
5,244.5612209693848,243.72265438223323,OCO
6,213.97539012103857,209.07714948845714,OCO
7,135.17274749734878,138.41585963269998,SAI
8,240.8349953700858,239.51601365656566,OCO
9,278.2813826319577,285.73023778024276,SAI
10,283.42499072723257,291.22774175396825,SAI
11,156.94415118507223,154.65819098506591,OCO
12,223.80328777622734,223.37077756732282,OCO
13,270.16514884342854,271.67273028,SAI
14,268.7022065192157,256.4056563531907,OCO
15,104.43797215548346,102.12155258697857,OCO
16,224.762755261678,223.66450006044442,OCO
17,270.5274970465072,275.77580487230625,SAI
18,291.9233972585538,306.6377172939021,SAI
19,302.47042151577614,320.82134600428907,SAI
20,305.71851504761906,327.816344295873,SAI
21,289.01226357287896,264.9474641051549,OCO
22,169.10821903525175,144.94779848585574,OCO
23,232.8876085423923,237.12079747463204,SAI
24,275.3805813652763,285.1019845574477,SAI
