Minisector,PER,GAS,Fastest
0,264.3578407137948,263.3496121612694,PER
1,249.18256434567903,250.19352138271606,GAS
2,167.1611354211795,167.52314161549512,GAS
3,247.49314199161904,247.2221110574956,PER
4,272.2218410524791,271.39078807168056,PER
5,196.46068105770308,190.4551107950736,PER
6,122.56149049938756,122.58931751741257,GAS
7,160.32711253853657,160.46222984954733,GAS
8,258.01252978649603,259.0488767179487,GAS
9,176.01897047017542,184.44858593467544,GAS
10,185.3881872980213,181.58066201926133,PER
11,259.2684995413333,256.40295897764344,PER
12,249.8489401914779,247.36119677000443,PER
13,257.4711305377289,254.44877566811815,PER
14,284.0690520950964,282.12210054492755,PER
15,285.1790388935818,291.1294717231189,GAS
16,150.78570367976567,150.19452935023386,PER
17,239.0538678095238,237.75346111724755,PER
18,284.71642824986293,281.33472992463766,PER
19,296.99829541818184,293.57518107826087,PER
20,300.53219684848483,297.1856603291274,PER
21,304.9866539877672,298.6229168,PER
22,154.48797544977646,157.50224096611592,GAS
23,92.28786225014181,91.35771329210698,PER
24,180.45333113904763,177.8509628377084,PER
25,246.791664,245.541664,PER
