Minisector,SAI,VER,Fastest
0,276.8835928085154,271.00401311390476,SAI
1,302.6746430737415,299.43274284523915,SAI
2,317.0697930890815,312.5498069645311,SAI
3,324.2004481621703,321.4968682434709,SAI
4,328.8191270095238,326.2833431149206,SAI
5,328.080254436727,328.2210938,VER
6,209.2008476943238,203.75920595258663,SAI
7,109.37309619887374,105.8281187648637,SAI
8,187.56453380902693,186.4221351072578,SAI
9,263.7983419643808,261.18704343135937,SAI
10,292.0476932711046,290.176153,SAI
11,164.37306178382875,178.24758901550865,VER
12,94.51707364392291,97.58902348225689,VER
13,119.2215682414035,115.01409238020342,SAI
14,220.32746485576249,216.24548742617284,SAI
15,187.14766774498813,193.91712076437418,VER
16,229.6274994521212,227.63472176761903,SAI
17,177.84506827621587,182.79345659238095,VER
18,242.99488953763537,241.71237180326202,SAI
19,280.5818777848485,279.3331343365079,SAI
20,245.73921226597403,252.18888169081288,VER
21,146.87329377246996,145.6349357230303,SAI
22,98.4550483243985,98.37503523680486,SAI
23,126.06238530649519,122.92094241066611,SAI
24,233.00310189357026,227.1606356701381,SAI
