Minisector,MAG,LEC,Fastest
0,314.8097686583235,299.4654759111111,MAG
1,253.5461676488,248.71503562589578,MAG
2,196.08981203610549,196.68620061881256,LEC
3,264.46833531333726,264.30304739365295,MAG
4,227.72543174658458,226.54460025679012,MAG
5,116.34451877573511,120.48026080440933,LEC
6,175.96791769099687,172.96330748934756,MAG
7,257.13010551286317,255.02499924444444,MAG
8,288.08582360883776,287.40939097811673,MAG
9,301.16191406011524,302.74563469931974,LEC
10,306.47280335731085,309.3912697904762,LEC
11,227.686688292233,223.82284270617285,MAG
12,143.10586081220546,142.78080050760627,MAG
13,255.93513958606235,254.0595476825397,MAG
14,287.587905634632,288.52327851210214,LEC
15,288.768269827932,299.58749992380956,LEC
16,286.28095444621607,298.19807253333335,LEC
17,262.24270855899834,257.76850103466666,MAG
18,184.15287579117137,176.1984190284903,MAG
19,188.8230757187002,185.70948176416456,MAG
20,181.25527785366558,177.85521205134467,MAG
21,250.73534513049347,250.53533287009523,MAG
22,126.77819297343622,128.20471801202385,LEC
23,201.25719070692412,192.29900081325638,MAG
24,275.26394586851404,274.6336308813853,MAG
25,289.47499946666665,291.36250026666664,LEC
