Minisector,SAI,GRO,Fastest
0,277.183489510559,273.0743558984127,SAI
1,295.1037824487597,292.83375158165256,SAI
2,222.04818846733772,236.08244777989418,GRO
3,125.76723432366411,124.16334527647183,SAI
4,183.53424436397214,180.09564724428623,SAI
5,120.39374231135554,119.91669130037862,SAI
6,213.777415241014,205.4586784340166,SAI
7,258.31267383492064,260.8618400602492,GRO
8,177.59726041155255,177.58393031941452,SAI
9,185.71776882462513,177.25121620765086,SAI
10,265.4008805763975,262.119668584127,SAI
11,189.70402354825703,186.67632789218985,SAI
12,165.75132405679958,160.70190912625154,SAI
13,256.1075003733333,253.17243302872544,SAI
14,272.68115982608697,270.9194944,SAI
15,285.2994080128269,286.0860048737923,GRO
16,201.84758240990354,202.86885983655912,GRO
17,192.7553591856167,193.002264523306,GRO
18,244.1330144,239.25368734358975,SAI
19,283.8580551354854,280.42468992132507,SAI
20,294.2785980589203,292.5476193015873,SAI
21,203.32323554571016,201.20959292121213,SAI
22,148.18974377143797,138.2181627157672,SAI
23,158.61228456223205,154.70954015619841,SAI
24,226.93716476798934,219.0484443331255,SAI
25,,256.6142857142857,GRO
