Minisector,VER,TSU,Fastest
0,301.48541701333335,287.77412266666664,VER
1,313.3593136313725,294.47543848421054,VER
2,167.68039756444836,163.42377418039214,VER
3,220.42409039963945,217.43884917414553,VER
4,276.60148574969196,270.23452413968255,VER
5,299.7807020350877,291.283333145098,VER
6,311.8822200245542,298.04304467496087,VER
7,185.74225458365117,175.80328379061206,VER
8,124.03404157020553,118.25449108843748,VER
9,245.7579182107342,245.1386277932976,VER
10,280.55375029333334,285.205184044883,TSU
11,291.51269366602594,302.74583377777776,TSU
12,154.34684584195625,146.8835193487434,VER
13,190.27949240434143,183.39954776486044,VER
14,257.59781785396825,256.51861398329254,VER
15,204.23243360005702,206.20401157530864,TSU
16,212.77358203608222,200.72127502831285,VER
17,211.5725933425359,205.89478090756202,VER
18,240.43376522221897,237.86220204329004,VER
19,276.13092115087716,275.0146823933411,VER
20,292.29946762105266,295.212955222409,TSU
21,262.28644589914444,256.19734913939396,VER
22,222.21014432463767,215.5428963502871,VER
23,202.8290743637752,198.5458334419753,VER
24,269.45145872,262.8503764415678,VER
