Minisector,PIA,VER,Fastest
0,324.5711478774532,322.6476197194333,PIA
1,335.35640428072816,331.36414021563115,PIA
2,335.7236457617778,330.7948333333333,PIA
3,196.61253144724046,199.3939624299279,VER
4,140.18553836655272,134.28921355475217,PIA
5,267.9003567289559,268.90985895568264,VER
6,302.9843779924007,302.3260575612121,PIA
7,315.96630691723965,314.5872158884848,PIA
8,263.48992102352094,289.4923738395031,VER
9,144.5871651207869,150.46617837093285,VER
10,224.89002219577964,223.89604969346053,PIA
11,234.6798029399756,233.29721275750916,PIA
12,208.54984814861496,206.3060183354637,PIA
13,272.28121416932277,270.072252728647,PIA
14,309.01127801139904,306.35834003285464,PIA
15,321.03818993246756,320.42942647341994,PIA
16,274.38449429223107,273.1537057538469,PIA
17,221.59260225837684,223.29012937439148,VER
18,282.912743236223,280.9598661004242,PIA
19,312.6957709157287,309.7312720458554,PIA
20,325.21008204035275,318.6417329269841,PIA
21,300.716084924041,307.25851393075936,VER
22,214.44373477136713,214.84676666175662,VER
23,269.7366264180316,264.92441879154063,PIA
24,305.0069215588007,294.00442600811596,PIA
25,318.6625008,304.0133333333333,PIA
