Minisector,STR,SAI,Fastest
0,279.4016809534923,281.6101261970927,SAI
1,297.0270973659344,293.8249737772257,STR
2,233.52108045206347,238.44633235862423,SAI
3,119.76315061967543,113.52822214489912,STR
4,133.32308515255613,132.14456888759935,STR
5,248.46314213486554,251.0287760886857,SAI
6,257.7950464710524,252.35654464707005,STR
7,124.51684700311479,128.52546744652705,SAI
8,244.0933496176722,247.68574468760332,SAI
9,238.87284159036787,263.7130422750853,SAI
10,204.74344767938763,204.0359038899471,STR
11,147.13646287837867,138.12857903768474,STR
12,205.71715151515153,208.85997475487727,SAI
13,263.704250811101,257.3519603657143,STR
14,120.3163203791491,117.5319804185034,STR
15,191.3657782578243,198.53009060218778,SAI
16,258.62490879536233,263.4502678199034,SAI
17,292.0536749482402,290.3196907035777,STR
18,309.5330109843485,303.1626121433058,STR
19,323.62197803276706,309.6341050469136,STR
20,332.3514880952381,308.9834459964849,STR
21,170.41021301017034,168.06950070435997,STR
22,144.43780076151245,151.4870657630376,SAI
23,203.34567035147393,206.4592975067252,SAI
24,235.89324931239858,237.2457660102564,SAI
25,267.58888675555556,,STR
