Minisector,SAI,STR,Fastest
0,279.66146274947107,273.26289717772005,SAI
1,119.11515848864153,119.69908951017412,STR
2,159.75274521909702,152.7315838035387,SAI
3,207.66082066010054,207.04113251335173,SAI
4,156.13878479046798,155.55394438398636,SAI
5,243.83003249523813,237.96740336922304,SAI
6,206.70389105666817,207.6605905620194,STR
7,132.8452332219901,132.83006540739598,SAI
8,230.4280302914732,223.4721893788085,SAI
9,275.6118601766824,270.3038985930159,SAI
10,286.10006868705887,269.9238517392089,SAI
11,145.1332673470283,137.92040109634468,SAI
12,214.09161116460274,216.8895668647619,STR
13,265.8669907966387,265.2644373688889,SAI
14,261.14409411241115,257.88796262772485,SAI
15,101.34007903021013,98.95649436045652,SAI
16,217.0139142587942,218.29017677142858,STR
17,272.08131208126986,269.88245369644,SAI
18,299.3673211387013,290.20718547324674,SAI
19,315.97168969034016,301.6810536507597,SAI
20,323.61358827554307,309.0017440511489,SAI
21,273.0693764737471,259.8896124919786,SAI
22,148.05263083056929,139.10817936302587,SAI
23,234.8862974570001,229.47176263779448,SAI
24,281.6497174841751,274.6513842478153,SAI
