Minisector,BOT,MAG,Fastest
0,233.14918018713226,230.50109062474067,BOT
1,283.1293081478594,278.90121303425207,BOT
2,297.5310471330797,295.35258913428834,BOT
3,303.9537734242782,302.6677975847619,BOT
4,277.05489682150323,277.70465083146576,MAG
5,170.37741334546902,165.3961936286768,BOT
6,262.46356064247203,255.97978111510932,BOT
7,280.4036182231495,277.98566218112325,BOT
8,220.18166565802622,224.67681360403657,MAG
9,224.8334964976547,215.37039769575728,BOT
10,186.81019733108496,187.56493456054818,MAG
11,225.73216994638898,218.16685614454747,BOT
12,208.88529929230643,210.09516385711757,MAG
13,214.56622062186923,219.3763390203457,MAG
14,223.34622220988842,218.0089970073727,BOT
15,185.1816285090382,181.6253931929953,BOT
16,246.56233669207074,239.66349725104394,BOT
17,285.3196452390194,282.73376265975094,BOT
18,298.9506000642423,297.65061596415933,BOT
19,288.33242956704845,293.8184020456297,MAG
20,132.38357508598634,139.2745031116196,MAG
21,164.17330400981433,174.325964594022,MAG
22,156.14016241948508,136.08242018781567,BOT
23,209.88859685540305,218.34756173628213,MAG
24,149.93534862302045,141.1768473908743,BOT
25,188.38750293333334,167.39666431999999,BOT
