Minisector,NOR,VER,Fastest
0,291.6560317647452,276.0287763428403,NOR
1,160.32948720179385,147.99851913129834,NOR
2,161.86212728957534,166.9763838316553,VER
3,242.16718074829933,244.43968898652577,VER
4,263.8439014421211,273.2061079636363,VER
5,243.06794479177145,229.37964158064503,NOR
6,212.76715344808625,204.98517677621933,NOR
7,143.87759967532182,139.243602202403,NOR
8,225.9912351541195,228.1244803181318,VER
9,298.4259583670408,296.5559449112381,NOR
10,322.78619625574424,320.3747129224566,NOR
11,323.013837449266,320.48212192477155,NOR
12,315.28897467915516,314.90513884952384,NOR
13,310.92537790075187,310.90399900872177,NOR
14,126.88892510833286,124.2947436604853,NOR
15,117.5039051461619,113.34853254232807,NOR
16,97.7324261022334,100.59572945932847,VER
17,243.08869470158433,237.55056479746005,NOR
18,304.53501288314624,301.3196640579806,NOR
19,325.84803313662337,318.8068838374194,NOR
20,328.3413827419827,317.07596068077254,NOR
21,323.14664946262627,315.85744076190474,NOR
22,128.0227054106298,129.3863143916336,VER
23,198.83322714242013,195.9144499195712,NOR
24,276.47344390115245,263.2617349373085,NOR
25,,268.2256941333333,VER
