Minisector,LEC,VET,Fastest
0,259.64464706097186,250.74842151947433,LEC
1,120.99345982749018,124.50488736420122,VET
2,258.5632149217535,255.45299517270922,LEC
3,300.7375290096649,300.77156572617145,VET
4,301.7943303284656,302.9897518380513,VET
5,315.6281104594709,310.9369492856201,LEC
6,330.0165585531539,314.83675352666666,LEC
7,332.96300240002887,315.6216741922232,LEC
8,191.34642802850087,183.9027772390911,LEC
9,184.98445415569267,183.62198050288973,LEC
10,185.32469288491504,175.51396678910254,LEC
11,173.66270044123016,166.74018965659045,LEC
12,253.55509750631194,249.9662329251423,LEC
13,272.00440652022485,266.3480507810131,LEC
14,272.4850092728516,275.6087935218017,VET
15,274.16254889260506,269.9411178170017,LEC
16,176.3475697356698,163.14748937060833,LEC
17,183.38213776648374,170.0600974092644,LEC
18,230.33905774671055,228.1856074823154,LEC
19,278.29776843302835,275.14932012353745,LEC
20,299.1208072945314,297.8243796757937,LEC
21,303.53842536173164,306.9033157617402,VET
22,303.8108288843956,306.3044374547429,VET
23,259.6598468024454,258.05556773603683,LEC
24,111.41089467153606,106.77970592494128,LEC
25,224.12000256,223.0909090909091,LEC
