Minisector,NOR,PER,Fastest
0,271.92873250562195,270.1366549471861,NOR
1,251.46336912787092,257.60300612714866,PER
2,118.53289174101741,119.29852187006854,PER
3,169.14204519736035,154.6030102248112,NOR
4,196.97327890229278,193.64032353921053,NOR
5,195.03229650648203,184.55301445097507,NOR
6,263.4506924364626,263.45182369086484,PER
7,286.1806043687619,284.45385015734917,NOR
8,224.97460080263954,234.22677951085717,PER
9,143.52531568467106,140.99834152709136,NOR
10,112.15670925955258,110.84445073210995,NOR
11,153.89476226831042,154.19628647756917,PER
12,244.35001243255863,242.43961015411253,NOR
13,149.90665412404994,145.30445074980022,NOR
14,141.31992613965,150.01941688782986,PER
15,107.57995703240941,107.33843728074872,NOR
16,216.92314436097158,218.38054745328188,PER
17,231.34475274891255,237.53717559926758,PER
18,125.09902056703005,130.6442611246507,PER
19,238.2244776518595,243.5449012708868,PER
20,275.54628634324206,275.55039367352987,PER
21,210.3959696152381,197.6545980665964,NOR
22,138.20433826753646,151.6289015871255,PER
23,213.05959125090908,222.18046617471475,PER
24,224.53894401135074,226.58674228857066,PER
