Minisector,NOR,LAW,Fastest
0,283.8767507972699,285.03366304839744,LAW
1,294.37377394885084,299.93296402739776,LAW
2,274.57380469427886,280.31443291812326,LAW
3,167.51834422243695,162.14861779929825,NOR
4,114.71280849166928,114.18707103307032,NOR
5,240.45610136861907,239.2153104952694,NOR
6,288.6861318389814,286.8504857536508,NOR
7,290.07063438863827,293.72225545016,LAW
8,171.41017083266314,169.4096940038402,NOR
9,137.5890634965229,136.27712116523446,NOR
10,258.5399077208429,249.11210755169705,NOR
11,297.2038256185085,286.9974569642667,NOR
12,296.96220764485855,291.3638501593737,NOR
13,271.8143496602881,263.4603719675152,NOR
14,284.20331626741824,281.27727635817575,NOR
15,277.4395625141185,277.93829663836823,LAW
16,234.979074715766,239.1012343206597,LAW
17,224.81132135439844,211.82394065049422,NOR
18,279.94504986766293,277.48519191154975,NOR
19,297.59025738039213,299.53084414891777,LAW
20,298.63472893219716,299.33397330550724,LAW
21,228.19726376926047,218.98451129605218,NOR
22,234.96534720670476,241.65454557706667,LAW
23,135.74041575689716,133.17098892481994,NOR
24,209.5702900776947,200.60894502050422,NOR
25,261.7187488,258.1166677333333,NOR
