Minisector,GAS,ALB,Fastest
0,281.98869622648067,272.40276046531585,GAS
1,297.30986540691174,292.8264900440398,GAS
2,249.41648003642857,245.2064444289294,GAS
3,122.6609797156975,126.55255559375432,ALB
4,145.50565276930905,125.10021772314172,GAS
5,252.03720632381706,238.30861899799606,GAS
6,253.31885958916666,268.2555907267616,ALB
7,130.76306125867595,124.69646359214663,GAS
8,250.28876790886875,235.05178351206578,GAS
9,268.3895833212121,242.89249779546924,GAS
10,217.95730453346258,208.65254409091045,GAS
11,150.32234900155703,143.16130615577453,GAS
12,215.58277890369865,188.9658116452848,GAS
13,261.9882665233622,257.520780257755,GAS
14,119.27818058130221,117.0609028141846,GAS
15,208.5913760897566,178.56449622264267,GAS
16,262.3443788196795,248.4441595379487,GAS
17,288.2272124114949,281.8805068248526,GAS
18,297.51492411466467,295.3030000242376,GAS
19,299.8421052631579,300.16916672,ALB
20,300.52552547472783,302.10293162135116,ALB
21,167.7608966162723,184.13294586889364,ALB
22,155.01114911118316,132.5960675323549,GAS
23,201.06980198529465,197.4455309905432,GAS
24,231.66169091276677,224.04413220803482,GAS
