Minisector,HAM,OCO,Fastest
0,257.2236889371072,253.68888031783686,HAM
1,209.86730726007374,214.85535952437573,OCO
2,209.62164037825912,202.360476561338,HAM
3,257.55990673070306,255.59800236098414,HAM
4,270.4795400156136,267.8137660468755,HAM
5,289.60453882962406,289.08637361744695,HAM
6,167.94760553033365,166.89835555378428,HAM
7,187.52726626725328,178.59635845682706,HAM
8,268.3444951776439,267.5022261754929,HAM
9,294.92714277128965,293.42728916236535,HAM
10,306.3694978079863,304.2064495544777,HAM
11,307.32139562843514,309.51345487480756,OCO
12,117.12863188895501,113.07705631515486,HAM
13,188.3842693018951,183.6279758166046,HAM
14,271.046427950007,272.1149095491869,OCO
15,296.41656511184533,296.8676826409122,OCO
16,303.579934571813,304.16079182647474,OCO
17,190.15139561686047,179.837733055336,HAM
18,222.6534680041274,219.3534085780442,HAM
19,270.73464635604813,263.07621646244627,HAM
20,155.16510359401067,152.81466337026933,HAM
21,148.0823856045632,141.91677185091908,HAM
22,223.08130583341847,219.39289901489573,HAM
23,227.80223897949875,225.6833312335175,HAM
24,161.15572814798037,156.32478959888724,HAM
25,228.60416533333336,,HAM
