Minisector,VER,ALO,Fastest
0,279.27763311596635,267.4400053472194,VER
1,123.32997996385778,110.34325601495358,VER
2,156.63347438279445,163.2847535582181,ALO
3,218.5940937254155,200.554545725012,VER
4,162.6726977464263,158.97901549526853,VER
5,240.34179397447338,243.19882435733652,ALO
6,212.3210207483857,189.04739716332534,VER
7,132.18619168218402,137.43360705428447,ALO
8,230.3340799806579,237.5937666785801,ALO
9,274.3880851806862,276.6829634613475,ALO
10,286.4541692212885,258.0881128126984,VER
11,155.89710377638264,151.33991343301213,VER
12,226.17445644676332,236.79725238269006,ALO
13,271.4897368421053,275.45618397121694,ALO
14,268.46940962735965,209.49430634920634,VER
15,105.23394824750694,103.93361365110728,VER
16,219.65851337948988,234.92444570948473,ALO
17,269.29851540616244,278.229267999131,ALO
18,290.120122905098,294.202019777608,ALO
19,298.28446722523705,303.28329823098267,ALO
20,304.2518674136321,307.4747449179139,ALO
21,293.474345194794,205.7967175473923,VER
22,158.18509878334694,175.21659378754052,ALO
23,236.73399444426923,253.40137509549277,ALO
24,275.1418174213075,280.2931882584158,ALO
25,283.38,,VER
