Minisector,NOR,GAS,Fastest
0,313.5736986952381,313.9495154410339,GAS
1,325.0309050238924,326.9908527769133,GAS
2,328.80571187364853,332.1793092524494,GAS
3,311.2959844667086,302.0510249341793,NOR
4,153.21457027897125,150.30644802365933,NOR
5,186.96741846683727,183.59334672020626,NOR
6,215.70278098359734,210.78085725372685,NOR
7,259.9000531917133,253.03334955903608,NOR
8,239.30238606335382,240.56082284539139,GAS
9,151.84465550314243,146.26146339997985,NOR
10,203.91181028313167,207.6105810721443,GAS
11,127.45558598008023,122.48232034214907,NOR
12,233.47535400173163,226.05242863931971,NOR
13,157.94977806843744,162.41602131982458,GAS
14,214.982941925409,200.7213158733759,NOR
15,224.98058220638583,214.17070630345776,NOR
16,261.55091306046336,250.0595950551361,NOR
17,289.87261416605827,289.3593133844394,NOR
18,152.80607710866428,142.6540118946031,NOR
19,159.79168227772035,148.70204291405068,NOR
20,135.69075947582638,128.178864580178,NOR
21,226.5600036832368,221.117035829813,NOR
22,248.86791534488438,250.6703373995507,GAS
23,233.92192038780385,224.5045038029585,NOR
24,283.71088370022534,273.19839218908265,NOR
25,,300.256268076877,GAS
