Minisector,PER,STR,Fastest
0,298.8965482242157,310.8460456293218,STR
1,237.62630010677952,222.79087236232735,PER
2,191.57249593997113,187.0139363145348,PER
3,262.14178428279394,261.58880981308226,PER
4,219.2848662512619,212.14304125977011,PER
5,109.39415515431543,106.2131835437574,PER
6,174.62902343645996,162.34470596424023,PER
7,258.7211670042452,255.06695956649847,PER
8,293.17002371577513,290.6402991033155,PER
9,308.6690031211362,317.93043917837576,STR
10,315.78444044419047,325.5746678821832,STR
11,222.82038472409567,206.98658179537705,PER
12,137.7906194103592,135.0004882486637,PER
13,254.05180110002425,252.7523139557576,PER
14,293.6065766145184,290.1797970615208,PER
15,306.4064655752804,302.5273210639965,PER
16,302.00153508771933,301.1042101,PER
17,253.0333413094231,251.86581573456868,PER
18,178.8600014459966,171.02596236429807,PER
19,169.99783153902573,172.02616261724583,STR
20,174.50838492718728,182.60770010689754,STR
21,235.25429028647193,242.49472160340991,STR
22,118.67777862467156,113.36552143369721,PER
23,200.51585508916244,200.12977088285714,PER
24,277.43469787583547,273.7947115247719,PER
25,,289.9090920727273,STR
