Minisector,PER,TSU,Fastest
0,253.310972329972,249.9235605388006,PER
1,208.9427999011183,211.18241928066485,TSU
2,201.6456452883503,202.65008363848932,TSU
3,253.21879265322488,258.12903644971044,TSU
4,275.95134421778823,272.48155281535355,PER
5,291.31131254400003,286.2010222419753,PER
6,158.16409310153972,161.79456666517532,TSU
7,175.20281020521782,183.15035180161092,TSU
8,266.8553362320098,264.90102113630854,PER
9,309.19863946285716,289.01532914378066,PER
10,325.9773532797178,299.9144135545679,PER
11,329.0492071830082,302.27141357656564,PER
12,125.12831470255558,112.28224554828762,PER
13,184.47197281970296,190.02852639202806,TSU
14,268.5107972057301,268.70574676611693,TSU
15,294.41846862933335,291.086198742392,PER
16,301.092564785332,296.48646501818183,PER
17,189.16274034697366,176.59875244624064,PER
18,218.23958301798942,220.46803204217687,TSU
19,265.3346422750867,266.0039531397177,TSU
20,149.65814050529536,150.95827452540541,TSU
21,144.8388986710027,142.7461298678543,PER
22,218.7587766846387,216.6584806837029,PER
23,232.58267143903979,235.04573778086234,TSU
24,157.4602705560134,154.344925262899,PER
25,220.97222044444445,221.5863586909091,TSU
