Minisector,GAS,VER,Fastest
0,304.15355164160155,296.0934237600945,GAS
1,321.71708413415985,305.97052637473683,GAS
2,329.5032636165079,310.44483753616163,GAS
3,306.39016647162794,302.78299319727887,GAS
4,155.1040266288845,173.4882000860805,VER
5,208.9596364838788,209.57909073156137,VER
6,233.34452887923248,246.24280780650037,VER
7,268.9977425511111,272.48849376752906,VER
8,244.56213472858497,248.99228298008657,VER
9,156.89993203105763,161.68861902390535,VER
10,218.27748882615396,223.10889012575518,VER
11,124.0158541657201,129.6939197782616,VER
12,220.8214761114084,231.20088956686868,VER
13,171.6373163290771,175.2952516835949,VER
14,213.50624879612857,218.73241803483782,VER
15,242.60003918501397,245.568815554657,VER
16,266.53642870718613,267.2536702442713,VER
17,288.53534095327734,289.99603191543105,VER
18,148.9629290605848,150.98598188967372,VER
19,161.6747642185145,169.5547478252533,VER
20,136.8936809088025,140.56773020033046,VER
21,227.50563992976805,225.3746912308667,GAS
22,260.9644460047331,265.818386421164,VER
23,249.7673983460338,257.90906197492706,VER
24,276.4692418963044,282.93902010765544,VER
25,289.1874976,,GAS
