Minisector,BOT,VET,Fastest
0,278.1141767508633,278.3952726510947,VET
1,293.43937493333334,295.85768951150317,VET
2,247.6866867204708,233.62115223288555,BOT
3,115.97829126872082,115.71665541666941,BOT
4,128.07219217939885,134.3917652825397,VET
5,248.41540280071038,248.20312484444446,BOT
6,250.04236088888888,255.96503638260867,VET
7,122.97067829613806,125.38921182163705,VET
8,248.54288204444444,246.62362845548654,BOT
9,263.5655176005106,249.38861615238093,BOT
10,208.62912524926108,207.18526761904764,BOT
11,140.4225961065673,138.41374602702106,BOT
12,205.79258635750887,206.91348314398013,VET
13,260.95543789437227,264.94483295584416,VET
14,121.6551561169903,117.24101275966386,BOT
15,195.64373226899718,184.35692847297676,BOT
16,260.69810637575756,255.10942042898552,BOT
17,293.25547784098785,288.7774802008246,BOT
18,306.970888134872,305.58728061754385,BOT
19,312.9578947368421,313.1531955969925,VET
20,315.11535090526314,317.3465172131488,VET
21,169.48982767058826,159.07442014280014,BOT
22,139.06765364346305,150.92850421801492,VET
23,205.81456431255253,198.82984579879536,BOT
24,236.16400017066667,235.26545895466668,BOT
25,264.7499968,,BOT
