Minisector,LEC,ZHO,Fastest
0,287.7681305365392,287.99708257829485,ZHO
1,296.0047567758576,296.7718796062156,ZHO
2,282.7282965069217,278.6314242266474,LEC
3,104.70541656361192,105.76234073035629,ZHO
4,226.39331031746534,219.13095024344594,LEC
5,267.192385481697,268.71025074444447,ZHO
6,203.336980911558,208.5646168739243,ZHO
7,159.38871406422723,158.26120240348266,LEC
8,214.47701113799792,206.33993446062377,LEC
9,226.79883998524375,211.27556633540846,LEC
10,109.47112898742688,117.64745248840505,ZHO
11,225.31758465395353,226.43577745230772,ZHO
12,121.66496970862585,117.30384807433558,LEC
13,220.80079951798285,219.13386080361082,LEC
14,272.3441130305787,271.06461767238096,LEC
15,209.4542572074523,213.317915177523,ZHO
16,196.18152789322315,179.70179943969697,LEC
17,252.32489399700248,242.3703090213423,LEC
18,210.47534707482433,202.54237614967744,LEC
19,180.18093529891,175.88686225211228,LEC
20,259.7247277465728,258.5123952474074,LEC
21,282.95416726417443,283.4259206385811,ZHO
22,173.17454969268357,172.38267429550356,LEC
23,212.01841094353094,205.1149499628118,LEC
24,268.9467649546325,268.5080848083238,LEC
25,,281.3416661333333,ZHO
