Minisector,BOT,ALO,Fastest
0,315.83664023703705,295.00223221801025,BOT
1,242.90601878437383,222.22636197460318,BOT
2,153.22445160550447,142.6244362385113,BOT
3,228.0376110131757,218.86934499047618,BOT
4,161.04537011131245,157.8132654507754,BOT
5,174.330931816159,179.53569521777777,ALO
6,250.67961621469368,249.528284319714,BOT
7,273.6975002666667,272.26228087017546,BOT
8,277.4549392655999,279.6414474105263,ALO
9,258.93052941646266,260.9544096351489,ALO
10,243.41131022222223,245.3696431238095,ALO
11,242.7907936507669,237.28727489030152,BOT
12,213.94086260380703,204.54456466825306,BOT
13,148.9272411477657,138.1935914769655,BOT
14,159.61672854597555,143.1585580108108,BOT
15,193.02278358601686,180.06436322286518,BOT
16,260.93871084632826,254.2308338133333,BOT
17,245.60219861251682,235.42838803334152,BOT
18,119.37121041368434,111.47835609483283,BOT
19,199.87884508717949,196.40533949015537,BOT
20,184.20430583434373,193.65055226666666,ALO
21,204.89265928937039,232.66675033419767,ALO
22,250.49598343411157,261.5400895314286,ALO
23,272.8367818142353,277.5921054877193,ALO
24,287.96988081523807,289.6326770479303,ALO
