Minisector,LEC,GIO,Fastest
0,273.04670895620797,271.8126738222222,LEC
1,292.355043502514,288.4733134610969,LEC
2,233.1214531717796,222.64166569195402,LEC
3,126.59097787976478,126.9149977458458,GIO
4,181.33216921985002,183.74460122740035,GIO
5,119.61628147104089,121.6591281866755,GIO
6,210.08002164825396,209.29019341291573,LEC
7,260.8272507688305,258.3929185128814,LEC
8,174.61484642962964,177.96397930669139,GIO
9,181.05377711338704,174.5644854215948,LEC
10,263.06008536866807,258.79588535652175,LEC
11,188.9494372664368,200.6201613687482,GIO
12,162.44129942664753,158.63461604102565,LEC
13,254.81761973638095,253.45455040390405,LEC
14,271.047132053218,268.7731626401656,LEC
15,286.07841639089025,282.41656775686107,LEC
16,199.52580575018732,202.88316043010752,GIO
17,189.34615501386068,193.73998921789322,GIO
18,240.63752077367857,237.5088605069597,LEC
19,281.30823036024844,277.2259420289855,LEC
20,293.09265889523806,288.33747301125544,LEC
21,210.8753804141321,229.59116740070576,GIO
22,143.28257730909093,138.2664242884743,LEC
23,155.44734214912893,158.89527201794715,GIO
24,220.74530187553097,214.00423191678817,LEC
25,257.7250016,256.57549317093793,LEC
