Minisector,STR,GRO,Fastest
0,281.4060509651452,276.2545339834448,STR
1,254.07522802174384,243.07196735454892,STR
2,270.27481834836533,266.06566453916844,STR
3,286.303703762963,281.0531010521097,STR
4,126.33684512830591,121.12929596963014,STR
5,206.14769856754916,203.85664068649677,STR
6,265.6655150268138,265.04046899870303,STR
7,289.5172018507411,286.6523639996769,STR
8,301.7464776039017,297.37340362420707,STR
9,308.05,302.29536304520684,STR
10,297.4713584,287.5798624,STR
11,105.40143953890832,96.96209953602354,STR
12,220.22400447075668,215.32466358075345,STR
13,269.77967100216046,264.6047882830504,STR
14,277.0266027485293,267.5370378074074,STR
15,128.382605183746,130.53604761078105,GRO
16,200.33980822465216,201.2916700695309,GRO
17,254.6240415937106,252.5486118342807,STR
18,253.89262516490982,252.15894389689305,STR
19,248.48818483969424,241.16723338765047,STR
20,148.65827844810494,147.392806301033,STR
21,182.60809098940402,185.9412702181824,GRO
22,170.34115997807595,169.2877104912963,STR
23,188.0161594690906,189.54643130925822,GRO
24,247.07847071737547,247.25236123523078,GRO
