Minisector,ANT,COL,Fastest
0,245.96909773965606,256.73572172280257,COL
1,132.2821484973772,138.84674300541533,COL
2,278.12433831316946,276.4291351777366,ANT
3,314.8513424656448,310.8788863458409,ANT
4,297.4276648575691,293.25591857629905,ANT
5,319.3621462208482,313.99232874023926,ANT
6,319.62025028739316,314.1394449378656,ANT
7,314.14857498239996,308.2816403143803,ANT
8,195.75096566583304,184.40612721309472,ANT
9,193.47326002987256,189.00626885581835,ANT
10,178.9269962295439,170.03473731123145,ANT
11,176.79657737853003,167.02196661221913,ANT
12,244.84899266281096,243.05622547027335,ANT
13,263.6548119402181,261.8727502913016,ANT
14,256.5713317748515,259.5488248533625,COL
15,247.32755353381467,247.68744462148325,COL
16,173.74861577895916,169.3112991469424,ANT
17,188.14180383740674,185.16857262063215,ANT
18,252.00969018448978,244.7304045548006,ANT
19,303.06251678191256,296.9445495422259,ANT
20,325.3612609328655,315.16817793800675,ANT
21,314.1652469814816,295.1565401985315,ANT
22,290.7797749824339,279.7648560680306,ANT
23,250.87342767496747,234.68908673141402,ANT
24,117.79052211171897,118.84491506439399,COL
25,220.4,231.916672,COL
