Minisector,LEC,BOT,Fastest
0,282.25726526295364,283.97678788571426,BOT
1,124.05767512746156,118.22075792067686,LEC
2,158.7479692728452,158.41768536934242,LEC
3,218.8958106813187,210.0970926026331,LEC
4,158.69860874752928,158.93535443455784,BOT
5,239.03265722597405,239.06835622654688,BOT
6,213.68014990180845,199.38945311047618,LEC
7,134.83269284547768,130.33690486666666,LEC
8,230.90937814764015,238.5265511560998,BOT
9,274.26386554452796,282.69869331747896,BOT
10,280.4600762085137,286.4319217189803,BOT
11,146.54198954754648,139.5328493087428,LEC
12,213.1750980682473,216.72579310545453,BOT
13,266.90781749841267,268.08238830650504,BOT
14,268.7034280747475,256.66468132857443,LEC
15,96.52282039363064,99.67864714986459,BOT
16,219.16848586155285,221.7866752,BOT
17,270.679942472671,271.0259850745218,BOT
18,290.6256022408964,298.54470403492064,BOT
19,302.03349678580764,313.7602617728571,BOT
20,308.48518643608685,322.8355354514286,BOT
21,287.1467857015873,277.1487324749963,LEC
22,153.7775117177216,143.97762884685005,LEC
23,230.03844749913043,237.32442981956103,BOT
24,274.30097219812416,283.7099287377031,BOT
25,287.57660317297325,297.0,BOT
