Minisector,OCO,SAI,Fastest
0,290.7130440811594,301.0600342327821,SAI
1,312.2587502095238,325.58083311999997,SAI
2,309.34874858666666,307.5874981333333,OCO
3,174.94002740180088,177.66824524762288,SAI
4,219.78045242101925,218.25344904827585,OCO
5,197.6822867024531,203.1157094576425,SAI
6,182.2347939128947,189.62126287843137,SAI
7,214.36508619770115,213.416665611712,OCO
8,258.93992206492163,256.8320926349206,OCO
9,257.87067488198295,257.0894876317033,OCO
10,166.1003358990991,172.61636592058144,SAI
11,242.3513592686817,239.4874649831066,OCO
12,119.35727047623179,117.49451633494294,OCO
13,232.226793534359,230.38135977078252,OCO
14,280.18151161613235,273.26627935472806,OCO
15,291.46607180952384,278.02911267186147,OCO
16,200.88492356229708,205.38712201710928,SAI
17,181.01764603249302,184.45105068440273,SAI
18,272.1738052973455,268.72031146666666,OCO
19,303.02550980498864,293.1509917968254,OCO
20,316.0425809225198,303.70014335744315,OCO
21,315.82802108,303.3231578340136,OCO
22,258.4664766150458,251.83275692162732,OCO
23,114.97214727355686,117.60390499968166,SAI
24,242.2516806065934,245.16573903915344,SAI
25,277.4142848,,OCO
