Minisector,NOR,ALB,Fastest
0,285.37336053958876,298.6384059670588,ALB
1,296.2197883653184,318.00731456256904,ALB
2,301.1437603630476,326.9717612504202,ALB
3,295.8441432611241,328.5940971555556,ALB
4,203.11592877538462,191.91028680360043,NOR
5,225.47664005789622,229.05991680084657,ALB
6,270.12706903945576,266.7808885827176,NOR
7,269.36558773870536,262.7298426105263,NOR
8,202.01633612321604,198.00750151314836,NOR
9,148.71988647029778,138.56705256280702,NOR
10,183.783324032,184.24014532217515,ALB
11,263.78149303299904,263.8372128817316,ALB
12,254.54569744969695,245.74710982188853,NOR
13,233.58602536019862,233.6908862153846,ALB
14,270.5549042707692,269.5183196139307,NOR
15,176.69246525746033,168.53641726197645,NOR
16,224.23617857697056,235.25844521122337,ALB
17,242.06728180102562,234.39202401200575,NOR
18,133.62784051263185,136.1143357171676,ALB
19,244.94368243501683,243.54512359466668,NOR
20,283.807190822924,283.5573606881819,NOR
21,251.02426859537414,235.08120329777776,NOR
22,144.98029314785492,144.947777254339,NOR
23,218.07503671706726,223.42453206666667,ALB
24,269.58825350745,273.3745618073104,ALB
