Minisector,TSU,VET,Fastest
0,286.6149453078261,286.920921064149,VET
1,296.45172358325624,297.36136360044895,VET
2,301.7656359934503,303.1700926074074,VET
3,302.59426288504363,303.5702430222222,VET
4,185.36087570293776,186.65672332095238,VET
5,216.41796559146667,208.57420401600294,TSU
6,263.1848905671163,263.87318704069264,VET
7,264.6404322331891,264.7370424712827,VET
8,186.0225839387496,186.14288191573698,VET
9,153.52772019416796,147.77572948099268,TSU
10,182.16095796724596,184.84738161980712,VET
11,254.86792259972609,256.231447253664,VET
12,245.90360317351792,237.57457240177774,TSU
13,230.43605601524897,221.24327387765777,TSU
14,263.2571767747068,264.7160645821645,VET
15,172.9162962635294,168.64946248593128,TSU
16,219.71504801846982,221.81284389399588,VET
17,237.72762264656083,224.82329219917654,TSU
18,134.95439992976026,130.55007700092906,TSU
19,235.10586282512452,237.82918202857144,VET
20,275.05997691296056,275.89269269466365,VET
21,250.38296602424242,223.17966243908884,TSU
22,137.17558582535938,138.410384582011,VET
23,220.7841157859696,211.52442561841846,TSU
24,266.7100750780952,265.96970607856576,TSU
