Minisector,HAM,STR,Fastest
0,297.7533770178958,297.2372303470605,HAM
1,225.03533011674662,209.34275672454513,HAM
2,231.41943866920926,225.11109243956042,HAM
3,277.29851057012576,275.33324595070707,HAM
4,247.73490686788767,242.56484712695251,HAM
5,130.5431826382074,129.17466887174336,HAM
6,212.74547124370116,217.68795749149427,STR
7,262.2047462460229,261.9752852918154,HAM
8,254.56326635267826,250.09977953921324,HAM
9,244.2700701465819,238.99244424365568,HAM
10,274.57708633293123,274.525700429822,HAM
11,290.8835490457143,291.8644241512727,STR
12,297.698206054321,304.4316532141991,STR
13,300.9802400875176,314.27341801223054,STR
14,296.2762999707268,316.0349864666131,STR
15,258.70694973308593,255.56302697989418,HAM
16,249.32064895629716,248.1356276079365,HAM
17,278.3891690057836,283.8958287557204,STR
18,289.97823529809017,300.97492924734695,STR
19,159.10792780021973,150.96762068580486,HAM
20,212.0191228160031,215.58081012709744,STR
21,204.7820179439653,180.07490072491868,HAM
22,136.55771370105015,144.03960898127218,STR
23,243.95849424241646,239.9230239590712,HAM
24,280.3081356504473,280.61300857875597,STR
