Minisector,PIA,STR,Fastest
0,275.5907468578081,273.11824626785017,PIA
1,123.82362481316156,110.74822501233417,PIA
2,167.4167916764064,162.91075078344414,PIA
3,216.64532577422221,207.24954063641388,PIA
4,164.32537096681094,151.30111453856208,PIA
5,242.55056038028985,239.83702935188407,PIA
6,196.19689165586814,188.56941512178827,PIA
7,132.15161082351378,125.68695159082694,PIA
8,233.87484204842895,235.8081584991813,STR
9,278.2426311111111,276.1567133593416,PIA
10,285.3543575771428,281.6933630952381,PIA
11,150.43467886408843,143.24559279865252,PIA
12,224.240276350839,224.31150261252526,STR
13,274.34738028190475,273.72299865880836,PIA
14,256.373995210582,248.39579541818182,PIA
15,101.21617528258565,98.05117341128147,PIA
16,224.4700008838765,221.15098316020007,PIA
17,273.33570343685494,274.40319474998824,STR
18,292.05594155333335,292.5951894976035,STR
19,300.6671753346556,302.3257518262005,STR
20,304.7092162488889,307.30074944859416,STR
21,271.05881628885686,253.22769423558896,PIA
22,141.41638611956668,147.77626099814674,STR
23,233.959736008,240.19383106765963,STR
24,277.1454501879524,275.7831935641457,PIA
