Minisector,ALO,NOR,Fastest
0,273.64541836229625,270.7930380421602,ALO
1,290.1623988578897,290.7049072998068,NOR
2,279.2057450946336,257.6285175944462,ALO
3,162.10133158432978,147.59417415897602,ALO
4,191.3953321915739,183.3769846272165,ALO
5,172.31366209143434,171.37720844399365,ALO
6,166.91692730268304,158.98899381059837,ALO
7,190.01588476104766,189.1080112360471,ALO
8,243.51685809133,238.34300055437325,ALO
9,236.53459202936043,214.0278673531699,ALO
10,145.14501298401672,136.94430157093166,ALO
11,217.96843529862755,208.91695197581026,ALO
12,109.51258746743595,101.6733313923169,ALO
13,208.56126012210845,214.17641139283447,NOR
14,265.89405603982607,263.46332571928167,ALO
15,277.04645443312626,261.7979595521763,ALO
16,185.9978089778317,160.8643203841981,ALO
17,158.37834387864038,156.3849163312872,ALO
18,253.6641431398942,253.06546682908737,ALO
19,282.661904592617,280.45559690225895,ALO
20,294.2555832526835,291.6027731116883,ALO
21,293.48546723851854,264.16624167794026,ALO
22,242.9049054436605,203.95982742944315,ALO
23,97.86606946366084,102.99110552384248,NOR
24,222.88804930961436,219.20122506430374,ALO
25,258.9285686857143,,ALO
