Minisector,NOR,HAM,Fastest
0,261.47085352893544,257.1647344252217,NOR
1,133.51817734544218,133.99826054849447,HAM
2,269.11954775254486,265.8352521673143,NOR
3,311.4376052649908,308.4613393035944,NOR
4,311.3550504740135,307.9417235022222,NOR
5,318.5697863936811,316.90847477008253,NOR
6,322.4405493236364,322.4539055768167,HAM
7,322.63138014444445,323.0690809742857,HAM
8,206.7935901084543,214.54189210543515,HAM
9,206.78338295042363,199.0181390207557,NOR
10,182.38227859868888,188.1325573397554,HAM
11,175.07705791865695,169.78479059548178,NOR
12,261.15019059739797,253.5705147797472,NOR
13,279.72437348988717,281.9207074955102,HAM
14,289.9162849608211,286.1399888482078,NOR
15,275.8337330697143,279.97089167601945,HAM
16,183.713801623908,171.37893306691828,NOR
17,200.59279342886174,194.81501464697092,NOR
18,251.33790225710763,246.7525493281746,NOR
19,293.9617247294092,291.8779016375071,NOR
20,313.3696037288312,310.3961327761606,NOR
21,318.01344698181816,316.4650000178882,NOR
22,316.221627015873,314.6914819915018,NOR
23,264.7231916551661,281.60275321043025,HAM
24,115.48445805697901,115.58596309741283,HAM
25,231.36249813333333,228.94687439999998,NOR
