Minisector,PIA,VER,Fastest
0,270.19363391252205,277.8210309039859,VER
1,289.07093603990927,302.4635560330328,VER
2,287.5798933665408,307.8116208923249,VER
3,125.73819060977404,124.34550909564148,PIA
4,195.75220567809524,197.16143321387946,VER
5,244.89065880987772,256.512201989418,VER
6,134.92659957370023,143.6802547980209,VER
7,206.36040463492063,201.21700630728608,PIA
8,258.141256905732,257.1665522906667,PIA
9,277.39726690285715,278.38805668705584,VER
10,230.39734885431636,235.8394222215224,VER
11,169.51743257150858,178.48036440823844,VER
12,194.95821364033014,193.90516297863317,PIA
13,139.9134939770538,136.4358756236131,PIA
14,176.69847123249167,171.27360148819758,PIA
15,164.46411769412893,160.45734950043564,PIA
16,224.80748214744688,215.74180537142857,PIA
17,232.3546792807321,234.06964177724672,VER
18,238.98258360571427,241.43567464918956,VER
19,227.06404070615372,239.85522478391536,VER
20,145.93757553201536,145.25188647335037,PIA
21,129.37055807468678,137.93899913865292,VER
22,164.89383262375918,170.10046120634922,VER
23,150.3204252822934,153.05239100391367,VER
24,227.67103071935497,221.10261477598345,PIA
25,257.97499999999997,254.33571565714283,PIA
