Minisector,PIA,RUS,Fastest
0,297.5762582176242,304.6183903554019,RUS
1,208.19449525388035,238.07478095853776,RUS
2,149.59409073129706,138.9825294701376,PIA
3,227.43642504557914,224.03153418852463,PIA
4,175.30418460947067,170.78601625472422,PIA
5,193.80207381057363,172.88866107017972,PIA
6,255.83274761461124,253.43584973565768,PIA
7,277.92030356888887,281.01513286989933,RUS
8,281.68782851116424,288.8030748406417,RUS
9,266.61661450756304,258.34879680166904,PIA
10,256.28666653333335,247.3043314003993,PIA
11,250.30393440570964,240.9374757160173,PIA
12,221.7428531699499,215.37958690701794,PIA
13,134.77170402498425,126.94666347797951,PIA
14,147.30004319389707,140.08586868001262,PIA
15,179.19244196871986,169.6489257720656,PIA
16,252.16569514013585,245.90446358687828,PIA
17,239.3493584817166,236.1610403673183,PIA
18,115.68978669350568,113.78803616077897,PIA
19,201.75015957372773,198.26450198244794,PIA
20,207.4687658144222,200.49037028091675,PIA
21,239.67969958944164,240.88951034225565,RUS
22,266.40831538190116,269.3308532837076,RUS
23,282.02587450600123,287.09305554488884,RUS
24,292.8033927583332,298.98040273777775,RUS
25,295.2812504,,PIA
