Minisector,RUS,VER,Fastest
0,269.3410740093871,266.4518452005442,RUS
1,284.88514695314285,284.84101377244446,RUS
2,283.33203643789034,287.87432963428574,VER
3,127.10073108098764,131.27784665945947,VER
4,197.9188673344298,196.55111896054825,RUS
5,254.76440704830338,255.37992266020203,VER
6,147.57867411214437,146.44581834529038,RUS
7,213.18614015717463,207.45790098451343,RUS
8,258.745935152422,257.59847475399124,RUS
9,279.05015273600003,278.84753654095243,RUS
10,245.87460421869486,243.7602890557823,RUS
11,187.2373473266506,185.81552841166445,RUS
12,199.90607881273414,204.13665956613272,VER
13,145.56553969546897,146.49106740429636,VER
14,179.49374815543385,176.84811062302487,RUS
15,167.22328997555556,166.27673774734595,RUS
16,220.63598154295886,221.11471255682244,VER
17,239.24206813674186,241.6876459993651,VER
18,245.6545987491996,245.39211727849928,RUS
19,236.24344257616164,238.48713176149067,VER
20,149.2051734924843,147.1827547770582,RUS
21,136.96208900466854,138.50503576734766,VER
22,167.74693317333333,171.20654645026818,VER
23,160.3357543872511,159.01900559711052,RUS
24,235.01628260266665,231.4106150152958,RUS
25,258.5833333333333,,RUS
