Minisector,VER,PIA,Fastest
0,271.00401311390476,275.97321160620726,PIA
1,299.43274284523915,304.12584496975654,PIA
2,312.5498069645311,315.8260490741259,PIA
3,321.4968682434709,323.200879762963,PIA
4,326.2833431149206,325.9721702912045,VER
5,328.2210938,327.29325740929295,VER
6,203.75920595258663,221.0071858395952,PIA
7,105.8281187648637,108.93695096437114,PIA
8,186.4221351072578,183.7480905700141,VER
9,261.18704343135937,263.01447854732027,PIA
10,290.176153,291.6527240987655,PIA
11,186.43315201124548,167.4421510841549,VER
12,96.82518911636168,97.53611632596748,PIA
13,115.01409238020342,116.65161704483656,PIA
14,220.06718880444444,223.39415461906663,PIA
15,193.25750121522427,200.5400769740527,PIA
16,229.96995597473682,233.2756978117084,PIA
17,184.53626737758242,189.55333666323568,PIA
18,241.71237180326202,241.12734594747744,VER
19,278.56523042689076,276.9524632414815,VER
20,254.0160916503214,250.6265463023043,VER
21,145.6349357230303,149.47680594552583,PIA
22,97.23701513757163,98.7347061660299,PIA
23,121.94796943769315,124.80962564777,PIA
24,225.42606132149547,224.92269768394905,VER
25,,257.9500032,PIA
