Minisector,LIN,COL,Fastest
0,286.6610577086734,283.39074055962476,LIN
1,298.07635535792207,297.5659316085691,LIN
2,277.7716888306138,275.8440488268607,LIN
3,172.81781342265634,169.42309442439927,LIN
4,116.63849517535972,113.12125948976113,LIN
5,238.41141148169817,237.23221231900303,LIN
6,283.772851499798,286.30445303081416,COL
7,289.3484050898815,294.37693747658403,COL
8,172.63647066905327,176.07337223988358,COL
9,134.76971855073762,130.70264319188703,LIN
10,253.75374130289134,246.73864118627463,LIN
11,289.62717368311684,291.67892402283707,COL
12,291.1392145522578,293.84318351619044,COL
13,263.74891250356825,264.3863619303619,COL
14,280.1648645524595,282.0492412251088,COL
15,271.0615443288844,279.3264242715151,COL
16,233.08077508403701,242.68176535736262,COL
17,217.9160131188148,208.80646609773976,LIN
18,280.94553310644886,268.57581597074096,LIN
19,301.3505567966138,295.0376416064227,LIN
20,303.36759061682125,298.038750144,LIN
21,218.5438341634675,220.88413959202688,COL
22,242.76001797411823,229.26570610609272,LIN
23,135.50842793051424,134.6696411547619,LIN
24,213.85661400372294,196.35891216994318,LIN
25,,255.9000007111111,COL
