Minisector,ALO,PER,Fastest
0,293.28112101847876,291.79608396642215,ALO
1,300.60122820661246,299.1812919744538,ALO
2,222.57678789262545,217.97603740661728,ALO
3,139.67561532993062,144.1800056129009,PER
4,223.15230696543304,218.96875422452004,ALO
5,166.70418689751122,159.7278135139955,ALO
6,178.27218401215654,170.96005459443734,ALO
7,252.7315013309102,252.33748954138647,ALO
8,279.2625189211808,277.53760565122445,ALO
9,286.82427200454543,285.5464789442947,ALO
10,256.5960408410831,273.3703003703704,PER
11,243.8945308781395,243.44305564444446,ALO
12,245.18515258794187,242.60603687038548,ALO
13,215.99040739961907,207.41029424485853,ALO
14,132.8656605753921,132.68507171554234,ALO
15,142.64717152172926,138.7337467603486,ALO
16,185.18875001904763,184.25926476215395,ALO
17,246.76723414518517,247.7603664312325,PER
18,258.3002535755389,223.09829010354875,ALO
19,118.69343650026232,115.43974605656706,ALO
20,193.4277679388543,203.7146922300029,PER
21,201.51540130993232,195.56489193781124,ALO
22,227.57176012334935,237.3817655739903,PER
23,261.6938905722488,265.10046330221746,PER
24,277.9268785280548,281.8083709142857,PER
25,288.72618971428574,,ALO
